Project ID,Building,Building ID,Level,GIA,Area,Actual start,Actual end,Actual duration,Worker-hours,Actual production rate,Labour productivity,Number of workers,Avg number of workers,Worker density,Cycle time,Planned start,Planned end,Planned duration,Planned production rate,Planned cycle time,Crane Asitha,Cranes,Pours,Batch area,Labour Issues,Level of Offsite Construction,Location and Logistical Issues,Supply Chain Issues,Design Complexity,Design Delays,Core,Columns,Beams,Slabs Asitha,Slabs,Frame
1,Forge A,A,1,1575,4. Between 1500 and 2000 m2,11/01/2021,08/03/2021,42,1875,38,0.84,5,1. Between 5 an 10,315,34,16/09/2020,04/11/2020,36,44,21,1.0,1.0,2,788,2,2,,2,2,2,Twinwalls,Steel,Secondary composite,In-situ,In-situ,2. Vertical (off-site) and Slabs (in-situ)
1,Forge A,A,2,1575,4. Between 1500 and 2000 m2,25/02/2021,29/04/2021,45,2657,35,0.59,6,1. Between 5 an 10,263,38,15/10/2020,18/11/2020,25,63,13,1.0,1.0,2,788,2,2,,2,2,2,Twinwalls,Steel,Secondary composite,In-situ,In-situ,2. Vertical (off-site) and Slabs (in-situ)
1,Forge A,A,3,1575,4. Between 1500 and 2000 m2,21/04/2021,03/06/2021,33,1925,48,0.82,6,1. Between 5 an 10,263,27,03/11/2020,08/12/2020,26,61,16,1.0,1.0,2,788,2,2,,2,2,2,Twinwalls,Steel,Secondary composite,In-situ,In-situ,2. Vertical (off-site) and Slabs (in-situ)
1,Forge A,A,4,1575,4. Between 1500 and 2000 m2,27/05/2021,12/07/2021,36,2689,44,0.59,7,1. Between 5 an 10,225,28,25/11/2020,12/01/2021,25,63,16,1.0,1.0,2,788,2,2,,2,2,2,Twinwalls,Steel,Secondary composite,In-situ,In-situ,2. Vertical (off-site) and Slabs (in-situ)
1,Forge A,A,5,1077,3. Between 1000 and 1500 m2,02/07/2021,09/08/2021,30,2850,36,0.38,9,1. Between 5 an 10,120,23,17/12/2020,27/01/2021,20,54,11,1.0,1.0,2,539,2,2,,2,2,2,Twinwalls,Steel,Secondary composite,In-situ,In-situ,2. Vertical (off-site) and Slabs (in-situ)
1,Forge A,A,6,1077,3. Between 1000 and 1500 m2,31/07/2021,03/09/2021,26,2502,41,0.43,10,1. Between 5 an 10,108,21,15/01/2021,08/02/2021,17,63,11,1.0,1.0,2,539,2,2,,2,2,2,Twinwalls,Steel,Secondary composite,In-situ,In-situ,2. Vertical (off-site) and Slabs (in-situ)
1,Forge A,A,7,1077,3. Between 1000 and 1500 m2,27/08/2021,24/09/2021,22,2493,50,0.43,12,2. Between 11 and 15,90,19,01/02/2021,22/02/2021,16,67,11,0.5,1.0,2,539,2,2,,2,2,2,Twinwalls,Steel,Secondary composite,In-situ,In-situ,2. Vertical (off-site) and Slabs (in-situ)
1,Forge A,A,8,807,2. Between 500 and 1000 m2,22/09/2021,20/10/2021,23,2723,35,0.30,12,2. Between 11 and 15,67,18,16/02/2021,31/03/2021,32,25,11,0.5,1.0,2,404,2,2,,2,2,2,Twinwalls,Steel,Secondary composite,In-situ,In-situ,2. Vertical (off-site) and Slabs (in-situ)
1,Forge A,A,9,807,2. Between 500 and 1000 m2,14/10/2021,29/11/2021,37,5025,22,0.16,14,2. Between 11 and 15,58,35,03/03/2021,08/04/2021,25,32,,0.5,1.0,2,404,2,2,,2,2,2,Twinwalls,Steel,Secondary composite,In-situ,In-situ,2. Vertical (off-site) and Slabs (in-situ)
1,Forge B,B,1,1100,3. Between 1000 and 1500 m2,29/01/2021,14/05/2021,75,5012,15,0.22,7,1. Between 5 an 10,157,75,10/08/2020,09/10/2020,44,25,44,1.0,1.0,1,1100,2,2,,2,2,2,Twinwalls,Steel,Secondary composite,In-situ,In-situ,2. Vertical (off-site) and Slabs (in-situ)
